phase,policy,fleet,scenario,replication,arrival_seed,sensor_seed,general_trips,recycling_trips,distance_km,collection_trips,collection_stops,wasted_pickups,overflow_incidents,overflow_bin_hours,overflow_spilled_kg,overflow_bin_hours_mixed_general_waste,overflow_bin_hours_plastic_cups,overflow_bin_hours_metal_cans,overflow_bin_hours_glass_bottles,base_driving_fuel_l,traffic_fuel_penalty_l,payload_fuel_penalty_l,collection_idle_fuel_l,depot_idle_fuel_l,fuel_l,unserved_required_bins,unfinished_trip_count,uncollected_kg_at_horizon
final_exact,current_6h,g1_r1,normal_patterned,1,12222127,12232129,13,19,828.4469999999997,32.0,341.0,39.0,1.0,16.31825000000002,24.7848289912545,0.0,16.31825000000002,0.0,0.0,372.8011499999999,32.09609250000001,11.931162793144615,136.40000000000086,32.0,585.2284052931453,0.0,0,8099.87441693162
final_exact,fixed_baseline,g1_r1,normal_patterned,0,12222026,12232026,9,10,596.2719999999997,19.0,396.0,171.0,5.0,38.612965277777796,166.22730731948377,27.731472222222237,10.88149305555556,0.0,0.0,268.32239999999996,47.58786,15.259148593909705,158.40000000000117,19.0,508.5694085939108,0.0,0,9623.093840866235
final_exact,fixed_baseline,g1_r1,normal_patterned,1,12222127,12232129,9,10,594.1539999999997,19.0,396.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.36929999999995,46.950030000000005,15.213400914954311,158.40000000000117,19.0,506.93273091495547,0.0,0,11842.43489035843
final_exact,current_6h,g1_r1,persistent_multi_day_surge,0,12222026,12232026,15,26,1028.9999999999989,41.0,409.0,56.0,6.0,14.942108333333348,122.26359233998295,8.941461111111085,6.000647222222263,0.0,0.0,463.0499999999998,33.67266750000001,14.703399275714908,163.60000000000124,41.0,716.0260667757159,0.0,0,4763.411681763736
final_exact,current_6h,g1_r1,persistent_multi_day_surge,1,12222127,12232129,17,25,1076.6559999999993,42.0,416.0,47.0,1.0,12.318250000000019,18.649172149696682,0.0,12.318250000000019,0.0,0.0,484.4951999999998,44.94485250000004,14.954777962894951,166.40000000000128,42.0,752.794830462896,0.0,0,6744.33038368899
final_exact,fixed_baseline,g1_r1,persistent_multi_day_surge,0,12222026,12232026,9,14,612.2479999999996,23.0,396.0,124.0,43.0,380.1157055555565,1775.2240779798822,238.88654027777878,141.22916527777767,0.0,0.0,275.51159999999993,47.040187499999995,16.795833033629158,158.40000000000117,23.0,520.7476205336302,0.0,0,9623.093840866235
final_exact,fixed_baseline,g1_r1,persistent_multi_day_surge,1,12222127,12232129,9,13,605.3439999999996,22.0,396.0,129.0,49.0,443.9857388888891,1807.1472322640225,225.4613416666675,218.52439722222152,0.0,0.0,272.4047999999999,46.64056499999999,16.509989570707447,158.40000000000117,22.0,515.9553545707086,0.0,0,11842.43489035843
final_exact,current_6h,g1_r1,reduced_truck_capacity,0,12222026,12232026,16,23,952.1799999999988,39.0,347.0,47.0,3.0,0.921479166666677,26.1089463242034,0.7365624999999909,0.18491666666668607,0.0,0.0,428.48100000000005,47.1366,19.896264032344025,138.8000000000009,39.0,673.313864032345,0.0,0,4767.860893702738
final_exact,current_6h,g1_r1,reduced_truck_capacity,1,12222127,12232129,14,22,894.2229999999994,36.0,344.0,39.0,1.0,1.5409999999999855,3.0559303208489155,1.5409999999999855,0.0,0.0,0.0,402.40035,24.85694250000001,18.60660750006314,137.60000000000088,36.0,619.4639000000641,2.0,0,7519.811701467991
final_exact,fixed_baseline,g1_r1,reduced_truck_capacity,0,12222026,12232026,9,18,635.7909999999997,27.0,396.0,174.0,6.0,44.53486666666671,175.73530080387582,27.731472222222237,16.803394444444468,0.0,0.0,286.10594999999995,46.10641500000001,19.94132921460697,158.40000000000117,27.0,537.5536942146082,0.0,0,9607.404332841365
final_exact,fixed_baseline,g1_r1,reduced_truck_capacity,1,12222127,12232129,9,18,632.6519999999996,27.0,396.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.69339999999994,45.74171250000002,19.560105472981476,158.40000000000117,27.0,535.3952179729827,0.0,0,11831.507005589383
final_exact,current_6h,g1_r1,sensor_failure,0,12222026,12232026,14,14,921.731999999999,28.0,616.0,513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414.7794000000001,73.61487,16.083385706465396,246.40000000000242,28.0,778.877655706468,0.0,0,5970.586592534278
final_exact,current_6h,g1_r1,sensor_failure,1,12222127,12232129,14,14,921.731999999999,28.0,616.0,510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414.7794000000001,73.61487,15.976054591827905,246.40000000000242,28.0,778.7703245918304,0.0,0,7427.88807683986
final_exact,fixed_baseline,g1_r1,sensor_failure,0,12222026,12232026,9,11,597.8839999999998,20.0,396.0,172.0,5.0,38.612965277777796,166.22730731948377,27.731472222222237,10.88149305555556,0.0,0.0,269.0478,47.21404499999999,15.153115276966895,158.40000000000117,20.0,509.81496027696807,0.0,0,9623.093840866235
final_exact,fixed_baseline,g1_r1,sensor_failure,1,12222127,12232129,9,10,596.5219999999997,19.0,396.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.4348999999999,47.41602749999999,15.020736515402328,158.40000000000117,19.0,508.2716640154034,0.0,0,11842.43489035843
final_exact,current_6h,g1_r1,traffic_disruption,0,12222026,12232026,17,25,1005.4149999999992,42.0,356.0,69.0,4.0,10.810105000000036,33.65904326273271,1.3625264583333623,9.447578541666674,0.0,0.0,452.4367499999998,212.70154387500006,16.360464984676096,142.40000000000094,42.0,865.898758859677,0.0,0,6933.741432114111
final_exact,current_6h,g1_r1,traffic_disruption,1,12222127,12232129,13,19,828.4469999999997,32.0,341.0,38.0,2.0,16.45914500000005,29.074471825374104,0.12284083333343006,16.33630416666662,0.0,0.0,372.8011499999999,171.72391162499994,15.985664209711857,136.40000000000086,32.0,728.9107258347126,0.0,0,8046.562362258651
final_exact,fixed_baseline,g1_r1,traffic_disruption,0,12222026,12232026,9,10,596.2719999999997,19.0,396.0,171.0,5.0,39.66075416666666,166.22730731948377,28.664154166666673,10.99659999999999,0.0,0.0,268.3223999999999,154.69336687500018,20.215322597985114,158.40000000000117,19.0,620.6310894729863,0.0,0,9609.651610801213
final_exact,fixed_baseline,g1_r1,traffic_disruption,1,12222127,12232129,9,10,594.1539999999998,19.0,396.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.3692999999999,153.42881850000015,20.167544743770975,158.40000000000117,19.0,618.3656632437721,0.0,0,11823.1796843976
