scenario,metric,direction_better,n_paired_replications,fixed_mean,smart_mean,beneficial_difference,beneficial_difference_ci95_low,beneficial_difference_ci95_high,beneficial_change_pct_vs_fixed,paired_sign_flip_p,paired_difference_shapiro_p,unit
combined_demand_operational_stress,turnaround_time_hours_post_warmup,lower,2,2.25,0.0,2.25,-0.9265511840436704,5.426551184043671,100.0,0.5046,,hours
combined_demand_operational_stress,idling_time_hours_post_warmup,lower,2,61.099999999999866,90.5999999999998,-29.499999999999925,-46.018066157026944,-12.981933842972907,-48.28150572831422,0.49965,,hours
combined_demand_operational_stress,collection_trips_post_warmup,lower,2,31.5,85.0,-53.5,-59.85310236808735,-47.14689763191265,-169.84126984126985,0.49885,,count
combined_demand_operational_stress,collection_stops_post_warmup,lower,2,376.5,467.0,-90.5,-198.5027402574849,17.502740257484888,-24.03718459495352,0.49965,,count
combined_demand_operational_stress,wasted_pickups_post_warmup,lower,2,62.5,55.0,7.5,-405.45165392567753,420.45165392567753,12.0,1.0,,count
combined_demand_operational_stress,base_driving_fuel_l_post_warmup,lower,2,330.634575,838.6409250000002,-508.0063500000002,-548.88284594651,-467.12985405349053,-153.64586416892433,0.49975,,litres
combined_demand_operational_stress,traffic_fuel_penalty_l_post_warmup,lower,2,184.40978737500006,365.40231131250033,-180.99252393750027,-195.24352760377704,-166.7415202712235,-98.14691861742092,0.5057,,litres
combined_demand_operational_stress,payload_fuel_penalty_l_post_warmup,lower,2,32.70022152204037,31.973190681001263,0.7270308410391078,-12.009684432236748,13.463746114314963,2.2233208437107366,1.0,,litres
combined_demand_operational_stress,driving_fuel_l_post_warmup,lower,2,547.7445838970405,1236.0164269935017,-688.2718430964613,-756.1360579825241,-620.4076282103986,-125.65561820796312,0.49915,,litres
combined_demand_operational_stress,collection_idle_fuel_l_post_warmup,lower,2,151.8000000000011,186.80000000000157,-35.0000000000005,-78.20109610299508,8.201096102994079,-23.05665349143626,0.4977,,litres
combined_demand_operational_stress,depot_idle_fuel_l_post_warmup,lower,2,31.5,85.0,-53.5,-59.85310236808735,-47.14689763191265,-169.84126984126985,0.5016,,litres
combined_demand_operational_stress,fuel_l_post_warmup,lower,2,731.0445838970415,1507.8164269935032,-776.7718430964618,-894.1902564536069,-659.3534297393167,-106.25505751723897,0.50035,,litres
combined_demand_operational_stress,co2_kg_post_warmup,lower,2,1959.1994848440715,4040.9480243425896,-2081.748539498518,-2396.42988729567,-1767.0671917013656,-106.25505751723898,0.49995,,kg
combined_demand_operational_stress,collected_kg_post_warmup,higher,2,143441.47517657513,166047.90741477968,22606.43223820455,13306.548844380415,31906.315632028687,15.760038866287621,0.49925,,kg
combined_demand_operational_stress,mean_fill_at_collection_pct_post_warmup,higher,2,76.69947425561836,70.87962922114015,-5.819845034478213,-44.43936700207273,32.7996769331163,-7.587855185398355,0.50125,,%
combined_demand_operational_stress,truck_utilization_pct_post_warmup,higher,2,77.9105030902189,33.3955759492069,-44.514927141011995,-61.80534207960717,-27.224512202416815,-57.135977018996456,0.50475,,%
combined_demand_operational_stress,unserved_required_bins_post_warmup,lower,2,19.5,9.0,10.5,4.146897631912653,16.85310236808735,53.84615384615385,0.5024,,count
combined_demand_operational_stress,inspection_events_post_warmup,lower,2,177.5,1883.5,-1706.0,-2608.140536268403,-803.8594637315969,-961.1267605633802,0.4984,,count
combined_demand_operational_stress,routing_fallbacks_post_warmup,lower,2,0.0,0.0,0.0,0.0,0.0,,1.0,,count
combined_demand_operational_stress,uncollected_kg_at_horizon,lower,2,15954.11636844082,9079.941109939618,6874.175258501202,-10962.50565113326,24710.856168135666,43.087157569560894,0.50235,,kg
combined_demand_operational_stress,unfinished_trip_count,lower,2,0.0,0.0,0.0,0.0,0.0,,1.0,,count
event_heavy,overflow_incidents,lower,2,3.0,2.5,0.5,-31.265511840436734,32.26551184043673,16.666666666666668,1.0,,count
event_heavy,overflow_bin_hours,lower,2,25.0,31.5,-6.5,-355.9206302448041,342.9206302448041,-26.0,1.0,,bin-hours
event_heavy,overflow_spilled_kg,lower,2,116.46151654214862,29.164437827444324,87.2970787147043,-382.8108544460759,557.4050118754844,74.9578756198925,0.5003,,kg
event_heavy,distance_km,lower,2,592.5419999999997,846.4274999999998,-253.88550000000015,-667.3136366032867,159.54263660328638,-42.84683617363837,0.5021,,km
event_heavy,travel_time_hours,lower,2,21.251100000000005,25.19666250000001,-3.945562500000003,-9.89792528871373,2.0068002887137224,-18.56639185736269,0.5003,,hours
event_heavy,service_time_hours,lower,2,52.799999999999855,40.266666666666566,12.533333333333289,7.450851438863429,17.615815227803147,23.73737373737372,0.5061,,hours
event_heavy,depot_unloading_time_hours,lower,2,5.999999999999998,11.333333333333336,-5.3333333333333375,-13.804136490783147,3.1374698241164722,-88.88888888888899,0.49805,,hours
event_heavy,turnaround_time_hours,lower,2,0.0,0.0,0.0,0.0,0.0,,1.0,,hours
event_heavy,idling_time_hours,lower,2,58.799999999999855,51.5999999999999,7.199999999999953,-6.353285051919762,20.75328505191967,12.244897959183625,0.49765,,hours
event_heavy,collection_trips,lower,2,18.0,34.0,-16.0,-41.41240947234939,9.412409472349388,-88.88888888888889,0.4957,,count
event_heavy,collection_stops,lower,2,396.0,302.0,94.0,55.88138579147592,132.1186142085241,23.737373737373737,0.4991,,count
event_heavy,wasted_pickups,lower,2,211.5,43.5,168.0,155.2937952638253,180.7062047361747,79.43262411347517,0.50165,,count
event_heavy,base_driving_fuel_l,lower,2,266.6438999999999,380.89237499999984,-114.24847499999993,-300.29113647147665,71.79418647147682,-42.84683617363831,0.5007,,litres
event_heavy,traffic_fuel_penalty_l,lower,2,47.323845,24.227595000000008,23.09624999999999,-19.65596765517683,65.84846765517682,48.80467764189489,0.50175,,litres
event_heavy,payload_fuel_penalty_l,lower,2,14.052220177126934,10.530386323466164,3.5218338536607705,1.4428976781245297,5.600770029197012,25.062472757104437,0.5009,,litres
event_heavy,driving_fuel_l,lower,2,328.0199651771269,415.650356323466,-87.63039114633915,-228.84189878710347,53.581116494425174,-26.714956542056754,0.5019,,litres
