scenario,policy,metric,n_replications,mean,sd,ci95_low,ci95_high,unit
base,fixed,uncollected_kg_at_horizon,30,10099.075077388348,124.20660463570461,10052.695568991488,10145.454585785208,kg
base,fixed,unfinished_trip_count,30,0.0,0.0,0.0,0.0,count
base,smart,overflow_incidents,30,0.06666666666666667,0.2537081317024625,-0.0280695066564651,0.16140283998979843,count
base,smart,overflow_bin_hours,30,0.1,0.4025778999364487,-0.050325058359458275,0.2503250583594583,bin-hours
base,smart,overflow_spilled_kg,30,0.7551253160889815,3.0905669550624397,-0.3989113509931288,1.9091619831710918,kg
base,smart,distance_km,30,664.4818666666665,45.470854611333756,647.5027705111592,681.4609628221739,km
base,smart,travel_time_hours,30,21.917114537037033,1.5000763813945142,21.356976810618438,22.47725226345563,hours
base,smart,service_time_hours,30,43.653333333333215,1.5305221606664736,43.08182696609609,44.22483970057034,hours
base,smart,depot_unloading_time_hours,30,7.422222222222219,0.6720092439916412,7.171289846557569,7.673154597886869,hours
base,smart,turnaround_time_hours,30,0.4055555555555555,0.3176884101221288,0.2869287536390285,0.5241823574720825,hours
base,smart,idling_time_hours,30,51.07555555555544,1.8720557130044433,50.37651846396652,51.77459264714436,hours
base,smart,collection_trips,30,22.3,2.119694187442109,21.50849318235864,23.09150681764136,count
base,smart,collection_stops,30,327.3666666666667,11.478565732022787,323.08049978114815,331.6528335521852,count
base,smart,wasted_pickups,30,85.2,17.933593981783133,78.50348595307405,91.89651404692596,count
base,smart,base_driving_fuel_l,30,299.01683999999995,20.46188457510015,291.37624673002165,306.65743326997824,litres
base,smart,traffic_fuel_penalty_l,30,50.21199225,3.4828119331410723,48.91148890099078,51.51249559900922,litres
base,smart,payload_fuel_penalty_l,30,14.068272020903922,0.5708124111038817,13.855127163660045,14.2814168781478,litres
base,smart,driving_fuel_l,30,363.29710427090384,23.22053768966267,354.62641299876105,371.96779554304663,litres
base,smart,collection_idle_fuel_l,30,130.96000000000078,4.591566481999504,129.24548089828937,132.67451910171218,litres
base,smart,depot_idle_fuel_l,30,22.266666666666666,2.016027731974923,21.513869539672715,23.019463793660616,litres
base,smart,fuel_l,30,516.5237709375713,27.897991206853614,506.1064898177086,526.9410520574339,litres
base,smart,co2_kg,30,1384.2837061126909,74.76661643436769,1356.365392711459,1412.2020195139228,kg
base,smart,collected_kg,30,107060.42780567327,2303.0844594673254,106200.44193503597,107920.41367631058,kg
base,smart,mean_fill_at_collection_pct,30,60.60810151449475,1.7207171964838919,59.96557515370247,61.25062787528703,%
base,smart,truck_utilization_pct,30,53.749664854861,4.599880235842682,52.03204134644505,55.46728836327696,%
base,smart,unserved_required_bins,30,0.03333333333333333,0.18257418583505533,-0.034840988071090116,0.10150765473775678,count
base,smart,inspection_events,30,80.06666666666666,8.419735982974082,76.92268558074115,83.21064775259218,count
base,smart,routing_fallbacks,30,0.0,0.0,0.0,0.0,count
base,smart,overflow_incidents_post_warmup,30,0.06666666666666667,0.2537081317024625,-0.0280695066564651,0.16140283998979843,count
base,smart,overflow_bin_hours_post_warmup,30,0.1,0.4025778999364487,-0.050325058359458275,0.2503250583594583,bin-hours
base,smart,overflow_spilled_kg_post_warmup,30,0.7551253160889815,3.0905669550624397,-0.3989113509931288,1.9091619831710918,kg
base,smart,distance_km_post_warmup,30,633.4483999999998,45.407482349088184,616.4929674361151,650.4038325638844,km
base,smart,travel_time_hours_post_warmup,30,20.845325972222223,1.5198465477145464,20.277805944375,21.412846000069447,hours
base,smart,service_time_hours_post_warmup,30,41.28444444444433,1.8356982308896577,40.59898345979415,41.96990542909452,hours
base,smart,depot_unloading_time_hours_post_warmup,30,7.077777777777774,0.6648442523996986,6.829520853943375,7.326034701612173,hours
base,smart,turnaround_time_hours_post_warmup,30,0.3888888888888889,0.31359164374927817,0.2717918446768485,0.5059859331009293,hours
base,smart,idling_time_hours_post_warmup,30,48.36222222222211,2.1642645098172806,47.554072572688575,49.17037187175564,hours
base,smart,collection_trips_post_warmup,30,21.166666666666668,2.134823473818811,20.369510480647477,21.96382285268586,count
base,smart,collection_stops_post_warmup,30,309.6,13.765524151750046,304.4598688060447,314.74013119395534,count
base,smart,wasted_pickups_post_warmup,30,72.03333333333333,16.678467086870306,65.80549137137797,78.2611752952887,count
base,smart,base_driving_fuel_l_post_warmup,30,285.0517799999999,20.433367057089658,277.42183534625184,292.68172465374795,litres
base,smart,traffic_fuel_penalty_l_post_warmup,30,47.78355,3.394550752386978,46.51600391752187,49.051096082478125,litres
base,smart,payload_fuel_penalty_l_post_warmup,30,13.536139266935445,0.6105780844532138,13.30814566323061,13.76413287064028,litres
